City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
321,Agadir,MA,69.8,broken clouds,30.42,-9.6,Iberostar Founty Beach
322,Miranda,CO,71.6,few clouds,3.25,-76.23,Parqueadero toño lasso
323,Araceli,PH,84.29,overcast clouds,10.55,119.99,JBryan Traveler's Inn
324,Makakilo City,US,86.0,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
325,Ganzhou,CN,91.76,broken clouds,28.82,115.43,Gold Jiao Hotel
326,Kiama,AU,68.0,overcast clouds,-34.68,150.87,The Sebel Kiama Harbourside
328,Honiara,SB,87.8,few clouds,-9.43,159.95,Heritage Park Hotel
329,Kavaratti,IN,82.4,haze,10.57,72.64,Bismillah Hotel And Lodging
331,Sompeta,IN,91.2,overcast clouds,18.93,84.6,V.B.R A/C Lodge And Function Hall
332,Corinto,GR,82.0,light rain,37.94,22.96,Ephira Hotel
334,Madawaska,US,69.8,clear sky,47.36,-68.33,Best Western Plus Edmundston Hotel
335,Vila,PT,66.99,clear sky,42.03,-8.16,Hotel Castrum Villae
337,Garissa,KE,71.47,clear sky,-0.45,39.64,Almond Resort
338,Arlit,NE,87.26,few clouds,18.74,7.39,Hôtel Telwa Bungalow
339,Isangel,VU,75.2,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
341,Along,IN,91.09,scattered clouds,28.17,94.77,Hotel West
342,Sabang,ID,83.08,overcast clouds,5.89,95.32,Hotel Citra
344,Gazli,UZ,86.59,clear sky,40.13,63.45,
345,Abdanan,IR,90.37,clear sky,32.99,47.42,سیروس عنبری
346,Airai,TL,73.83,clear sky,-8.93,125.41,Juvinal Martin
348,Nadym,RU,65.32,clear sky,65.53,72.52,Apartment on Zvereva
349,Palu,ID,83.43,moderate rain,-0.89,119.87,Hotel Santika Palu
351,Weligama,LK,80.91,moderate rain,5.97,80.42,Weligama Bay Resort
352,Hambantota,LK,80.6,scattered clouds,6.12,81.12,Bungalow 63
355,Sakakah,SA,84.2,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
356,Mutis,CO,79.27,light rain,6.23,-77.4,Paraiso Escondido
358,Domoni,KM,74.84,scattered clouds,-12.26,44.53,Loulou
360,New Bern,US,82.4,clear sky,35.11,-77.04,Hampton Inn New Bern
362,Kingsport,US,78.8,scattered clouds,36.55,-82.56,MeadowView Conference Resort & Convention Center
